value,type,created_at,updated_at,status,score,expires_at,tags,sources
24a49b42c1b2d2b79105b5b732a0722c97c467606c32dde2df1a942448ca605a,SHA-256,2022-02-26T17:23:26.653Z,2022-02-26T17:23:31.464Z,Active,7,,,"CrowdStrike Indicators"
31782d6a6e3a76d04d1137f6709d65510e503b5e,SHA-1,2022-02-26T17:37:20.169Z,2022-02-26T17:37:22.619Z,Active,7,,,"CrowdStrike Indicators"
5f1ca37024a04ae659a79b3cefd2c66c,MD5,2022-02-26T17:38:04.685Z,2022-02-26T17:38:10.784Z,Active,7,,,"CrowdStrike Indicators"
c81394df596349c50611a4890ff8203561dd787d0b40fa239de920feaab53d0d,SHA-256,2022-02-26T17:38:11.119Z,2022-02-26T17:38:16.957Z,Active,7,,,"CrowdStrike Indicators"
b761348c08f4d169de9f8411029a0b765fc92c9c,SHA-1,2022-02-27T16:29:38.431Z,2022-02-27T16:29:48.830Z,Active,7,,,"CrowdStrike Indicators"
5f4e8a3c370db95d3f90846cec2f4e7f,MD5,2022-02-27T16:29:38.441Z,2022-02-27T16:29:48.830Z,Active,7,,,"CrowdStrike Indicators"
5194892105ca96b4586d9ad171be85f989e1a5f618ad1ee879e8c32db02cfd8b,SHA-256,2022-02-27T16:29:38.451Z,2022-02-27T16:29:48.830Z,Active,7,,,"CrowdStrike Indicators"
d89o0gm35t.livehost.live,FQDN,2022-02-27T17:01:25.294Z,2022-02-27T17:01:35.061Z,Active,7,,,"CrowdStrike Indicators"
d89o0gm34t.livehost.live,FQDN,2022-02-27T17:03:56.171Z,2022-02-27T17:04:04.098Z,Active,7,,,"CrowdStrike Indicators"
010d5266c397fb02e739875b66715d92de5be552479123c6bb88c195261a36a7,SHA-256,2022-02-27T18:39:17.178Z,2022-02-27T18:39:26.025Z,Active,7,,,"CrowdStrike Indicators"
4aa1341c4ff0738f6c91ecbb3284986d6ace1b22,SHA-1,2022-02-27T18:39:17.878Z,2022-02-27T18:39:26.025Z,Active,7,,,"CrowdStrike Indicators"
c2ef40b1462f62e23ba2f1452349e47c,MD5,2022-02-27T18:39:18.110Z,2022-02-27T18:39:26.025Z,Active,7,,,"CrowdStrike Indicators"
7f0b2e63cba17355013a447a33518162b0ba6611,SHA-1,2022-02-28T09:56:03.979Z,2022-02-28T09:56:06.991Z,Active,7,,,"CrowdStrike Indicators"
91639aaaad34ed34a5a44e82541bfad16b4c63f0705ea6ce4cb004b10660d211,SHA-256,2022-02-28T09:56:11.771Z,2022-02-28T09:56:16.439Z,Active,7,,,"CrowdStrike Indicators"
4d028c7a47c1b0d00e894ad351a61996,MD5,2022-02-28T09:56:17.066Z,2022-02-28T09:56:24.019Z,Active,7,,,"CrowdStrike Indicators"
CVE-2021-26084,CVE,2021-09-02T18:22:34.893Z,2021-09-02T18:22:34.893Z,Active,0,,,"CrowdStrike Actors"
CVE-2012-1889,CVE,2021-09-02T18:22:34.961Z,2021-09-02T18:22:34.961Z,Active,0,,,"CrowdStrike Actors"
CVE-2019-19781,CVE,2021-09-02T18:22:34.970Z,2021-09-02T18:22:34.970Z,Active,0,,,"CrowdStrike Actors"
CVE-2013-3893,CVE,2021-09-02T18:22:34.977Z,2021-09-02T18:22:34.977Z,Active,0,,,"CrowdStrike Actors"
CVE-2019-1652,CVE,2021-09-02T18:22:34.987Z,2021-09-02T18:22:34.987Z,Active,0,,,"CrowdStrike Actors"
CVE-2020-10189,CVE,2021-09-02T18:22:34.996Z,2021-09-02T18:22:34.996Z,Active,0,,,"CrowdStrike Actors"
